"20","2","late in the day, but it&#8217;s still 4.1.10","James Joaquin","2010-04-01","1"
"21","2","Sounds very creepy indeed. But we just can&#8217;t portend what will and won&#8217;t work in social so i guess we&#8217;ll have to wait and watch whether users can stomach this.","Shailesh Banta","2010-04-01","1"
"22","2","Good one =)","Tien Nguyen","2010-04-01","1"
"23","2","Um&#8230;.isn&#8217;t it a little late for an april fools joke?  Please tell me this is a joke guys&#8230;","Adriel","2010-04-01","1"
"24","2","April Fooools!","Cory Liu","2010-04-01","1"
"25","2","APRA FOOOOO!!!","Haung Chen","2010-04-01","1"
"26","2","Nice one but I think a better facebook joke this year would be an article about how they&#8217;re going back to their roots of being a real &#8220;Face book&#8221; that colleges give out, using that as their monetization strategy by employing an army of kids on newspaper routes delivering your personalized newsfeed every morning to your driveway in black and white for the bargain basement price of just $1 / day or $3.99 for the sunday edition.","josh","2010-04-01","1"
"27","2","Facebook= Pedophiles + Stalkers&#8230;. Lamebook FTWThere going to go down sometime","Googlism","2010-04-01","1"
"28","2","Please tell me this is an April Fools&#8217; joke&#8230;then again, if it&#8217;s not it might be kind of interesting&#8230;","bassitone","2010-04-01","1"
"29","2","And the day of Internet Asshattery continues","Eric Marcoullier","2010-04-01","1"
"30","2","April fools???????????????????????????????????????","Ellen","2010-04-01","1"
"31","2","I wish!","Cory Watilo","2010-04-01","1"
"32","2","@Cory,God I hope so. Although, the way Facebook has been headed, I&#8217;m not so sure. Let&#8217;s hope.","Joshua Guffey","2010-04-01","1"
"33","2","Had me going up until the &#8220;Bases,&#8221; then I realized this was an April Fools joke. Good one, TechCrunch.","The Universal Guru","2010-04-01","1"
"34","2","I was totally buying it until the baseball diamond In a less creepy way, they could clearly make a bunch of money by launching a dating service though.","elvin","2010-04-01","1"
"35","2","Take a look at the &#8220;You Might Be Interested In&#8221; column on the second screenshot. The last option says &#8220;Jessie Sparxx Accepts Credit Cards. Affordable and discreet.&#8221; That sounds to me like prostitution? Does anyone else find that a little strange?","PhpMyCoder","2010-04-01","1"
"36","2","Yeah&#8230;and I just realized that was an April fools joke! I&#8217;m really gullible (Google had me with that TiSP thing for the first few paragraphs)! Still poor taste, though.","PhpMyCoder","2010-04-01","1"
"37","2","April Fools ended 26 minutes before you posted this.","martin","2010-04-01","1"
"38","2","Wether or not this is April 1st Joke The idea of semantic search for dynamically finding and arranging relationships based our previous / current  relations is really dirty sweet and my thing in Lifetime Studios as well.The Question is are they good in this?Dynamic, Semantic Search, Relevance, Project Marketing, 2011, Lifetime Scope Journal (LSJ), Next Generation Social Media, Social Media 2.Lifetime Scope Journal (LSJ). The Leading Finnish Internet Brand since 1989.","Risto Anton Päärni","2010-04-01","1"
"39","2","Trying to pull a fast one while people are sleepy. Gotcha! In my timezone,April Fools is officially over. But nice try on the late evening story.","Josh Armstrong","2010-04-01","1"
"40","2","seems like an april fools joke, although i wouldnt be suprised if facebook did something like this &#8211; it does lack dating imo.   Can anyone confirm this is in fact a prank?","anthony","2010-04-01","1"
"41","2",":eye roll: In some countries, anybody who tries to pull an April Fool&#8217;s prank after noon is the real fool. This is a perfect example of why that tradition should be universal.","K3","2010-04-01","1"
"42","2","47 minutes left!","Michael Arrington","2010-04-01","1"
"43","2","Well done.  Best one on the site today.You started slow, with an interesting and believable topic, then stretched it until we knew we were burned.","The John","2010-04-02","1"
"44","2","Google Reader says this was posted 4 hours ago, so by my reckoning about 0500 UTC on April 2nd. How can that possibly be before noon on april fools day anywhere in the world?","Martin","2010-04-02","1"
